"Country","CHE_GDP","desempleo"
"Afghanistan",11.8,"11.1"
"Albania",NA,"11.9"
"Algeria",6.4,"11.7"
"Andorra",10.3,NA
"Angola",2.8,"32"
"Antigua and Barbuda",4.5,NA
"Argentina",9.1,"10.4"
"Armenia",10.4,"17.1"
"Australia",9.2,"7.5"
"Austria",10.4,"9"
"Azerbaijan",6.7,"5.2"
"Bahamas",5.8,"10.7"
"Bahrain",4.7,"3.7"
"Bangladesh",2.3,"4.3"
"Barbados",6.8,"9.5"
"Belarus",5.9,"0.2"
"Belgium",10.3,"5.5"
"Belize",5.6,"9.4"
"Benin",3.7,"2.1"
"Bhutan",3.2,"2.4"
"Bolivia",6.4,"3"
"Bosnia and Herzegovina",8.9,"34.38"
"Botswana",6.1,"17.9"
"Brazil",9.5,"13.3"
"Brunei",2.4,"8.9"
"Bulgaria",8.1,"7.9"
"Burkina Faso",6.9,"6.1"
"Burundi",7.5,"1.4"
"Côte d'Ivoire",4.5,NA
"Cambodia",5.9,"0.7"
"Cameroon",4.7,"3.4"
"Canada",10.6,"10.9"
"Cape Verde",5.2,"12.2"
"Cayman Islands",NA,"2.8"
"Central African Republic",5.8,"6.5"
"Chad",4.5,"2.2"
"Chile",9,"13.1"
"China",5.2,"5.7"
"Colombia",7.2,"20.2"
"Comoros",7.4,"3.7"
"Congo",2.9,NA
"Cook Islands",3.3,NA
"Costa Rica",7.3,"12.5"
"Croatia",6.8,"9"
"Cuba",11.7,"1.7"
"Cyprus",6.7,"6.9"
"Czech Republic",7.2,"3.8"
"Democratic Republic of the Congo",4,NA
"Denmark",10.1,"5.2"
"Djibouti",3.3,NA
"Dominica",5.9,NA
"Dominican Republic",6.1,"5.9"
"East Timor",3.9,"3"
"Ecuador",8.3,"5.9"
"Egypt",5.3,"7.7"
"El Salvador",7.2,"6.4"
"Equatorial Guinea",3.1,"9.2"
"Eritrea",2.9,"6.5"
"Estonia",6.4,"5"
"Eswatini",6.9,NA
"Ethiopia",3.5,"16.9"
"Faroe Islands",NA,"1.7"
"Fiji",3.5,"4.2"
"Finland",9.2,"7.7"
"France",11.3,"7.8"
"Gabon",2.8,"19.5"
"Gambia",3.3,"8.9"
"Georgia",7.6,"13.9"
"Germany",11.2,"4.4"
"Ghana",3.3,"6.7"
"Greece",8,"17.3"
"Grenada",4.8,NA
"Guatemala",5.8,"2.5"
"Guinea",4.1,"4.2"
"Guinea-Bissau",7.2,"4.1"
"Guyana",4.9,"11.9"
"Haiti",8,"13.5"
"Honduras",7.9,"5.7"
"Hong Kong",NA,"6.1"
"Hungary",6.9,"4.8"
"Iceland",8.3,"6.4"
"India",3.5,"23.5"
"Indonesia",3,"5.28"
"Iran",8.7,"10.9"
"Iraq",4.2,"7.9"
"Ireland",7.2,"5.2"
"Israel",7.4,"4.7"
"Italy",8.8,"9.8"
"Ivory Coast",NA,"2.5"
"Jamaica",6,"7.2"
"Japan",10.9,"2.9"
"Jordan",8.1,"19.3"
"Kazakhstan",3.1,"5"
"Kenya",4.8,"5.2"
"Kiribati",10.8,NA
"Kosovo",NA,"25.9"
"Kuwait",5.3,"2.06"
"Kyrgyzstan",6.2,"3.1"
"Laos",2.5,"0.6"
"Latvia",6,"7.4"
"Lebanon",8.2,"6.2"
"Lesotho",8.8,"23.6"
"Liberia",8.2,"2"
"Libya",NA,"17.3"
"Liechtenstein",NA,"1.9"
"Lithuania",6.5,"12.8"
"Luxembourg",5.5,"6.6"
"Macau",NA,"2.7"
"Macedonia",6.1,"16.2"
